Ref,Val,Package,PosX,PosY,Rot,Side
"R26","10k","R_0805_2012Metric",128.800000,-155.100000,0.000000,top
"R27","10k","R_0805_2012Metric",153.800000,-155.100000,0.000000,top
"R28","10k","R_0805_2012Metric",178.800000,-155.100000,0.000000,top
"R29","10k","R_0805_2012Metric",203.800000,-155.100000,0.000000,top
"R30","10k","R_0805_2012Metric",228.800000,-155.100000,0.000000,top
"R31","10k","R_0805_2012Metric",253.800000,-155.100000,0.000000,top
"R32","10k","R_0805_2012Metric",278.800000,-155.100000,0.000000,top
"R33","10k","R_0805_2012Metric",103.800000,-180.100000,0.000000,top
"R34","10k","R_0805_2012Metric",128.800000,-180.100000,0.000000,top
"R35","10k","R_0805_2012Metric",153.800000,-180.100000,0.000000,top
"R36","10k","R_0805_2012Metric",178.800000,-180.100000,0.000000,top
"R37","10k","R_0805_2012Metric",203.800000,-180.100000,0.000000,top
"R38","10k","R_0805_2012Metric",228.800000,-180.100000,0.000000,top
"R39","10k","R_0805_2012Metric",253.800000,-180.100000,0.000000,top
"R40","10k","R_0805_2012Metric",278.800000,-180.100000,0.000000,top
"R41","10k","R_0805_2012Metric",103.800000,-205.100000,0.000000,top
"R42","10k","R_0805_2012Metric",128.800000,-205.100000,0.000000,top
"R43","10k","R_0805_2012Metric",153.800000,-205.100000,0.000000,top
"R44","10k","R_0805_2012Metric",178.800000,-205.100000,0.000000,top
"R45","10k","R_0805_2012Metric",203.800000,-205.100000,0.000000,top
"R46","10k","R_0805_2012Metric",228.800000,-205.100000,0.000000,top
"R47","10k","R_0805_2012Metric",253.800000,-205.100000,0.000000,top
"R48","10k","R_0805_2012Metric",278.800000,-205.100000,0.000000,top
"R49","10k","R_0805_2012Metric",103.800000,-230.100000,0.000000,top
"R50","10k","R_0805_2012Metric",128.800000,-230.100000,0.000000,top
"R51","10k","R_0805_2012Metric",153.800000,-230.100000,0.000000,top
"R52","10k","R_0805_2012Metric",178.800000,-230.100000,0.000000,top
"R53","10k","R_0805_2012Metric",203.800000,-230.100000,0.000000,top
"R54","10k","R_0805_2012Metric",228.800000,-230.100000,0.000000,top
"R55","10k","R_0805_2012Metric",253.800000,-230.100000,0.000000,top
"R56","10k","R_0805_2012Metric",278.800000,-230.100000,0.000000,top
"R57","10k","R_0805_2012Metric",103.800000,-255.100000,0.000000,top
"R58","10k","R_0805_2012Metric",128.800000,-255.100000,0.000000,top
"R59","10k","R_0805_2012Metric",153.800000,-255.100000,0.000000,top
"R60","10k","R_0805_2012Metric",178.800000,-255.100000,0.000000,top
"R61","10k","R_0805_2012Metric",203.800000,-255.100000,0.000000,top
"R62","10k","R_0805_2012Metric",228.800000,-255.100000,0.000000,top
"R63","10k","R_0805_2012Metric",253.800000,-255.100000,0.000000,top
"R64","10k","R_0805_2012Metric",278.800000,-255.100000,0.000000,top
"R65","10k","R_0805_2012Metric",140.450000,-87.100000,90.000000,top
"U1","A1104xLH","SOT-23W",103.800000,-71.100000,0.000000,top
"U2","74HC165","SOT-23W",128.800000,-71.100000,0.000000,top
"U3","A1104xLH","SOT-23W",153.800000,-71.100000,0.000000,top
"U4","A1104xLH","SOT-23W",178.800000,-71.100000,0.000000,top
"U5","A1104xLH","SOT-23W",203.800000,-71.100000,0.000000,top
"U6","A1104xLH","SOT-23W",228.800000,-71.100000,0.000000,top
"U7","A1104xLH","SOT-23W",253.800000,-71.100000,0.000000,top
"U8","A1104xLH","SOT-23W",278.800000,-71.100000,0.000000,top
"U9","A1104xLH","SOT-23W",103.800000,-96.100000,0.000000,top
"U10","74HC165","SOT-23W",128.800000,-96.100000,0.000000,top
"U11","A1104xLH","SOT-23W",153.800000,-96.100000,0.000000,top
"U12","A1104xLH","SOT-23W",178.800000,-96.100000,0.000000,top
"U13","A1104xLH","SOT-23W",203.800000,-96.100000,0.000000,top
"U14","A1104xLH","SOT-23W",228.800000,-96.100000,0.000000,top
"U15","A1104xLH","SOT-23W",253.800000,-96.100000,0.000000,top
"U16","A1104xLH","SOT-23W",278.800000,-96.100000,0.000000,top
"U17","A1104xLH","SOT-23W",103.800000,-121.100000,0.000000,top
"U18","A1104xLH","SOT-23W",128.800000,-121.100000,0.000000,top
"U19","74HC165","SOT-23W",153.800000,-121.100000,0.000000,top
"U20","A1104xLH","SOT-23W",178.800000,-121.100000,0.000000,top
"U21","A1104xLH","SOT-23W",203.800000,-121.100000,0.000000,top
"U22","A1104xLH","SOT-23W",228.800000,-121.100000,0.000000,top
"U23","A1104xLH","SOT-23W",253.800000,-121.100000,0.000000,top
"U24","A1104xLH","SOT-23W",278.800000,-121.100000,0.000000,top
"U25","A1104xLH","SOT-23W",103.800000,-146.100000,0.000000,top
"U26","A1104xLH","SOT-23W",128.800000,-146.100000,0.000000,top
"U27","A1104xLH","SOT-23W",153.800000,-146.100000,0.000000,top
"U28","74HC165","SOT-23W",178.800000,-146.100000,0.000000,top
"U29","A1104xLH","SOT-23W",203.800000,-146.100000,0.000000,top
"U30","A1104xLH","SOT-23W",228.800000,-146.100000,0.000000,top
"U31","A1104xLH","SOT-23W",253.800000,-146.100000,0.000000,top
"U32","A1104xLH","SOT-23W",278.800000,-146.100000,0.000000,top
"U33","A1104xLH","SOT-23W",103.800000,-171.100000,0.000000,top
"U34","A1104xLH","SOT-23W",128.800000,-171.100000,0.000000,top
"U35","A1104xLH","SOT-23W",153.800000,-171.100000,0.000000,top
"U36","A1104xLH","SOT-23W",178.800000,-171.100000,0.000000,top
"U37","74HC165","SOT-23W",203.800000,-171.100000,0.000000,top
"U38","A1104xLH","SOT-23W",228.800000,-171.100000,0.000000,top
"U39","A1104xLH","SOT-23W",253.800000,-171.100000,0.000000,top
"U40","A1104xLH","SOT-23W",278.800000,-171.100000,0.000000,top
"U41","A1104xLH","SOT-23W",103.800000,-196.100000,0.000000,top
"U42","A1104xLH","SOT-23W",128.800000,-196.100000,0.000000,top
"U43","A1104xLH","SOT-23W",153.800000,-196.100000,0.000000,top
"U44","A1104xLH","SOT-23W",178.800000,-196.100000,0.000000,top
"U45","A1104xLH","SOT-23W",203.800000,-196.100000,0.000000,top
"U46","74HC165","SOT-23W",228.800000,-196.100000,0.000000,top
"U47","A1104xLH","SOT-23W",253.800000,-196.100000,0.000000,top
"U48","A1104xLH","SOT-23W",278.800000,-196.100000,0.000000,top
"U49","A1104xLH","SOT-23W",103.800000,-221.100000,0.000000,top
"U50","A1104xLH","SOT-23W",128.800000,-221.100000,0.000000,top
"U51","A1104xLH","SOT-23W",153.800000,-221.100000,0.000000,top
"U52","A1104xLH","SOT-23W",178.800000,-221.100000,0.000000,top
"U53","A1104xLH","SOT-23W",203.800000,-221.100000,0.000000,top
"U54","A1104xLH","SOT-23W",228.800000,-221.100000,0.000000,top
"U55","74HC165","SOT-23W",253.800000,-221.100000,0.000000,top
"U56","A1104xLH","SOT-23W",278.800000,-221.100000,0.000000,top
"U57","A1104xLH","SOT-23W",103.800000,-246.100000,0.000000,top
"U58","A1104xLH","SOT-23W",128.800000,-246.100000,0.000000,top
"U59","A1104xLH","SOT-23W",153.800000,-246.100000,0.000000,top
"U60","A1104xLH","SOT-23W",178.800000,-246.100000,0.000000,top
"U61","A1104xLH","SOT-23W",203.800000,-246.100000,0.000000,top
"U62","A1104xLH","SOT-23W",228.800000,-246.100000,0.000000,top
"U63","A1104xLH","SOT-23W",253.800000,-246.100000,0.000000,top
"U64","74HC165","SOT-23W",278.800000,-246.100000,0.000000,top
"U65","A1104xLH","SOT-23W",140.700000,-112.100000,-90.000000,top
"U66","A1104xLH","SOT-23W",116.300000,-112.600000,-90.000000,top
"U67","A1104xLH","SOT-23W",188.650000,-86.900000,90.000000,top
"U68","A1104xLH","SOT-23W",160.400000,-86.000000,90.000000,top
"U69","A1104xLH","SOT-23W",191.100000,-137.900000,-90.000000,top
"U70","A1104xLH","SOT-23W",100.450000,-87.100000,90.000000,top
"U71","A1104xLH","SOT-23W",120.450000,-87.100000,90.000000,top
"U72","A1104xLH","SOT-23W",168.750000,-86.200000,90.000000,top
